"Name","Value","Quantity"
".1uF CAP_1206",".1uF","1"
".1uF CAP_1206",".1uF","1"
"18pF CAP_1206","18pF","1"
"18pF CAP_1206","18pF","1"
"1uF CAP_1206","1uF","1"
"22uF CAP_1206","22uF","1"
".1uF CAP_1206",".1uF","1"
".1uF CAP_1206",".1uF","1"
"1uF CAP_1206","1uF","1"
"IR LED","IR Throughhole","1"
"IR LED","IR Throughhole","1"
"IR LED_1206","IR","1"
"IR LED_1206","IR","1"
"Red LED_1206","Red LED","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"10k RES_1206","10k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"1k RES_1206","1k","1"
"B3SN-3012P","SMD Switch","1"
"ATMEGA168_TQFP","Atmega168 QFP","1"
"SN754410","","1"
"SN754410","","1"
"Stepper Nidec MP8","","1"
"Stepper Nidec MP8","","1"
"LM3480IM3X-3.3","","1"
"LM2940IMP 5V LDO","5V LDO","1"
"regulated 5V 2pin","","1"
"Battery 2pin","","1"
"ISP6PIN","","1"
"OVSARGB4R8","RGB LED","1"
"NRF Header","nRF24L01+ Header","1"
"16 mHZ Crystal HC49S","16 mHz","1"
